Dominant_Topic,Keywords
0,"complain, priest, giant, deck, said, tribe, torch, forward, corridor, quarter"
1,"cargo, portal, hut, feather, quake, webster, bathtub, girl, said, dictionary"
2,"wa, like, glen, one, paint, miss, hat, girl, say, spot"
3,"wa, one, men, people, life, would, time, thing, partridge, like"
4,"danton, party, wa, earth, small, ocean, continent, land, warehouse, north"
5,"ghost, wagon, martin, team, pugh, prod, hide, clone, leader, spear"
6,"wa, rat, king, little, men, could, time, young, still, made"
7,"disease, lab, virus, medical, rand, patient, report, laboratory, phone, plague"
8,"joey, skinny, cab, bug, said, like, got, say, friendly, get"
9,"city, computer, like, rogan, said, human, central, people, felt, old"
10,"voyage, straw, chop, dimension, world, girl, voyager, mate, ha, place"
11,"wa, one, tweel, two, right, knew, would, barry, well, bottle"
12,"wa, message, burke, said, signal, sandy, something, went, came, sound"
13,"wing, uncle, fly, flying, eagle, tail, cousin, air, train, furnace"
14,"mother, father, love, child, son, old, girl, daughter, parent, young"
15,"said, joe, thought, mali, pot, one, cathedral, like, harper, planet"
16,"wa, man, could, said, men, thought, would, back, dragonfly, felt"
17,"director, said, wa, pathfinder, dowd, sept, man, go, may, mist"
18,"wa, like, light, back, eye, foot, black, away, came, saw"
19,"one, said, new, brick, plastic, ha, crater, man, thing, street"
20,"wa, street, one, man, money, like, people, got, building, door"
21,"dog, animal, beast, th, city, street, pet, attack, death, owner"
22,"book, cooper, experiment, page, bobby, student, read, library, paper, physic"
23,"earth, planet, star, space, sun, year, life, alien, ship, race"
24,"wa, judge, ross, court, case, trial, time, law, said, bar"
25,"ship, captain, crew, men, control, port, space, engine, hull, pilot"
26,"sir, officer, yes, emperor, order, young, posthumus, miss, uniform, soldier"
27,"mike, wa, sentry, energy, mask, melody, game, like, one, hyperspace"
28,"wa, hand, said, back, man, face, arm, eye, head, one"
29,"dan, wa, nancy, house, body, kitchen, basement, stair, back, dream"
30,"grant, wa, shack, chapman, loony, picture, lee, girl, shepherd, fever"
31,"said, year, wa, committee, mar, work, room, ha, like, know"
32,"car, wa, road, back, would, truck, street, get, wheel, could"
33,"god, said, wa, man, brother, village, people, one, men, ha"
34,"crag, mar, quan, one, million, bar, thing, told, enough, dollar"
