TXT FILENAME,TITLE,AUTHOR/EDITOR,PUB. DATE
2015_DELANY_ABCTHREESHORTNOVELS_dirty.txt,"a,b,c: three short novels","Delany, Samuel R.",2015
1972_KOONTZ_ADARKNESSINMYSOUL_dirty.txt,A Darkness in My Soul,"Koontz, Dean R.",1972
1973_DICK_AMAZEOFDEATH.txt,A Maze of Death,"Dick, Philip K.",1973
1983_HARRISON_AREBELINTIME.txt,A Rebel in Time,"Harrison, Harry",1983
1977_DICK_ASCANNERDARKLY.txt,A Scanner Darkly,"Dick, Philip K.",1977
1968_GALOUYE_ASCOURGEOFSCREAMERS_dirty.txt,A Scourge of Screamers,"Galyoue, Daniel F.",1968
1948_CONKLIN_ATREASURYOFSCIENCEFICTION_dirty.txt,A Treasury of Science Fiction,"Conklin, Groff",1948
1979_SPINRAD_AWORLDBETWEEN.txt,A world between,"Spinrad, Norman",1979
1988_BUTLER_ADULTHOODRITES.txt,Adulthood Rites,"Butler, Octavia E.",1988
1962_ANDERSON_AFTERDOOMSDAY_dirty.txt,After Doomsday,"Anderson, Poul",1962
1978_GAWRON_ALGORITHM.txt,Algorithm,"Gawron, Jean Mark.",1978
1970_SHERRED_ALIENISLAND.txt,Alien Island,"Sherred, T.L.",1970
1944_STURGEON_ALIENS4_dirty.txt,Aliens 4,"Sturgeon, Theodore",1944
1956_POHL_ALTERNATINGCURRENTS.txt,Alternating Currents,"Pohl, Frederik",1956
1974_GERROLD_ALTERNITIES.txt,Alternities,"Gerrold, David ed.",1974
1962_KNIGHT_ANALOGUEMEN_dirty.txt,Analogue Men,"Knight, Damon",1962
1965_STURGEON_ANDMYFEARISGREAT&BABYISTHREE.txt,Two complete novels : Baby is three ; ... And my fear is great /,"Sturgeon, Theodore",1965
1970_RUSS_ANDCHAOSDIED_dirty.txt,And Chaos Died,"Russ, Joanna",1970
1974_TRALINS_ANDROIDARMAGEDDON_dirty.txt,Android Armageddon,"Tralins, Robert",1974
1970_KOONTZ_ANTIMAN_dirty.txt,Anti-Man,"Koontz, Dean R.",1970
1987_ENGH_ARSLAN.txt,Arslan,"Engh, M.J.",1987
1970_MCGIVERN_ASTOUNDINGSF_dirty.txt,"Astounding Science Fiction, Fall 1970 No. 2","McGivern, William (Ed.)",1970
1968_ELLIOT_ASYLUMEARTH.txt,Asylum Earth,"Elliott, Bruce",1969
1969_DELANY_AYEANDGOMORRAH_dirty.txt,"Aye, and gomorrah","Delany, Samuel R.",1969
1966_DELANY_BABEL17.txt,Babel-17,"Delany, Samuel R.",1966
1970_MOORCOCK_BEHOLDTHEMAN.txt,Behold the Man: A Novel,"Moorcock, Michael",1970
1972_POHL_BESTSCIENCEFICTIONFOR1972_dirty.txt,"Best Science Fiction for 1972, Continuing the Famous Ace Series","Pohl, Frederick",1972
1973_ACKERMAN_BESTSCIENCEFICTIONFOR1973_dirty.txt,Best Science Fiction for 1973,"Ackerman, Forrest J.",1973
1972_DELREY_BESTSCIENCEFICTIONSTORIESOFTHEYEAR_dirty.txt,Best Science Fiction Stories Fifth Annual Collection of the Year (1977),"Del Rey, Lester",1972
1976_DELREY_BESTSCIENCEFICTIONSTORIESOFTHEYEAR_dirty.txt,Best Science Fiction Stories of the Year (1973),"Del Rey, Lester",1976
1967_HARRISON_BESTSF1967_dirty.txt,Best SF: 1967,"Harrison, Harry & Aldiss, Brian W.",1938
1969_HARRISON_BESTSF1969_dirty.txt,Best SF: 1969,"Harrison, Harry & Aldiss, Brian W.",1969
1971_HARRISON_BESTSF1970_dirty.txt,Best SF: 1970,"Harrison, Harry & Aldiss, Brian W.",1971
1960_STURGEON_BEYOND.txt,Beyond,"Sturgeon, Theodore",1960
1955_DUNCAN_BEYONDEDEN.txt,Beyond Eden,"Duncan, David",1955
1965_SOMMERS_BEYONDTHEBLACKENIGMA.txt,Beyond the Black Enigma,"Somers, Bart",1965
1962_BALLARD_BILLENIUM.txt,Billenium,"Ballard, J.G.",1962
1985_GALLUN_BIOBLAST.txt,Bioblast,"Gallun, Raymond Z.",1985
1976_SARGENT_BIOFUTURES_clean.txt,Bio-Futures,"Sargent, Pamela",1976
1954_ANDERSON_BRAINWAVE_clean.txt,Brain Wave,"Anderson, Poul",1954
1976_ZELAZNY_BRIDGEOFASHES_clean.txt,Bridge of Ashes,"Zelazny, Roger",1976
1972_MACAPP_BUMSIDER_dirty.txt,Bumsider,"MacApp, C.C.",1972
1970_VONNEGUT_CATSCRADLE.txt,Cat's Cradle,"Vonnegut Jr., Kurt",1970
1955_STURGEON_CAVIAR.txt,Caviar,"Sturgeon, Theodore",1955
1980_SHIRLEY_CITYCOMEAWALKIN.txt,City Come A-Walkin',"Shirley, John",1980
1965_Delany_CITYOFATHOUSANDSUNS.txt,City of a Thousand Suns,"Delany, Samuel R.",1965
1967_LEGUIN_CITYOFILLUSIONS.txt,City of Illusions,"Le Guin, Ursula K.",1967
1964_DICK_CLANSOFTHEALPHANEMOON.txt,Clans of the Alphane Moon,"Dick, Philip K.",1964
1984_BUTLER_CLAYSARK.txt,Clay's Ark,"Butler, Octavia E.",1984
1973_GUTTERIDGE_COLDWARINACOUNTRYGARDEN.txt,Cold War in a Country Garden,"Gutteridge, Lindsay",1971
1968_REYNOLDS_COMPUTERWAR_clean.txt,Computer War,"Reynolds, Mack",1968
1983_VANVOGT_COMPUTERWORLD_clean.txt,Computerworld,"Van Vogt, A. E.",1983
1953_SOHL_COSTIGANSNEEDLE.txt,Costigan's Needle,"Sohl, Jerry",1953
1967_DICK_COUNTERCLOCKWORLD_dirty.txt,Counter-Clock World,"Dick, Philip K.",1967
1969_ZELAZNY_CREATURESOFLIGHTANDDARKNESS.txt,Creatures of Light and Darkness,"Zelazny, Roger",1969
1977_POHL-KORNBLUTH_CRITICALMASS.txt,Critical Mass,"Pohl, Frederik & Kornbluth, C.M.",1977
1969_ZELAZNY_DAMNATIONALLEY.txt,Damnation Alley,"Zelazny, Roger",1969
1967_ELLISON_DANGEROUSVISIONS.txt,Dangerous Visions,"Ellison, Harlan",1967
1967_ELLISON_DANGEROUSVISIONS2_dirty.txt,Dangerous Visions 2,"Ellison, Harlan",1967
1971_RACKHAM_DARKPLANET.txt,Dark Planet,"Rackham, John",1971
1969_SILVERBERG_DARKSTARS.txt,Dark Stars,"Silverberg, Robert (Ed.)",1969
1968_MERILL_DAUGHTERSOFEARTH.txt,Daughters of Earth,"Merril, Judith",1968
1976_HEINE_DEATHWIND.txt,Death Wind,"Heine, William C.",1976
1960_HARRISON_DEATHWORLD.txt,Deathworld,"Harrison, Harry",1960
1973_KOONTZ_DEMONSEED_clean.txt,Demon Seed,"Koontz, Dean R.",1973
1979_BAEN_DESTINIESVOL1NO2_dirty.txt,"Destinies, Vol. 1, No. 2","Baen, James",1979
1976_DICK-ZELANZY_DEUSIRAE.txt,Deus Irae,"Dick, Philip K. & Zelazny, Roger",1976
1975_DELANY_DHALGREN_dirty.txt,Dhalgren,"Delany, Samuel R.",1973
1985_YATES_DIASPORAH.txt,Diasporah,"Yates, W.R.",1985
1980_GOLDBERG_DISPOSABLEPEOPLE_dirty.txt,Disposable People,"Goldberg, Marshall & Kay, Kenneth",1980
1968_DICK_DOANDROIDSDREAMOFELECTRICSHEEP.txt,Do Androids Dream of Electric Sheep?,"Dick, Philip K.",1968
