AUTHOR,TITLE,PUBLICATION YEAR 
"Aldiss, Brian W. ",Starship,1958
"Aldiss, Brian W. ",Report on Probability A,1967
"Anderson, Poul",Orbit Unlimited,1961
"Anthony, Piers",Macroscope,1969
"Barrett, Jr., Neal | O'Donnell, K.M.",The Gates of Time | Dwellers of the Deep,1970
"Bass, T.J.",The Godwhale,1974
"Bayley, Barrington J.",The Fall of Chronopolis,1974
"Bayley, Barrington J. | Jakes, John",The Star Virus | Mask of Chaos,1970
"Benford, Gregory",Time-Scape,1980
"Bester, Alfred",Starburst,1958
"Blish, James",The Seedling Stars,1957
"Blish, James",Midsummer Century,1972
"Blish, James",Vor,1958
"Blish, James ",The Best of James Blish,1979
"Blish, James and Robert Lowndes",The Duplicated Man,1959
"Brown, Frederic",Rogue in Space,1957
"Brunner, John",The Dreaming Earth,1963
"Bulmer, Kenneth",The Insane City,1971
"Bulmer, Kenneth",The Doomsday Men,1965
"Bulmer, Kenneth | Glasby, John",The Hunters of Jundagai | Project Jove,1971
"Cheetham, Anthony (Ed.)",Science Against Man,1970
"Clarke, Arthur",The other Side of the Sky,1959
"Clarke, Arthur C. ",The Wind From The Sun,1962
"Clarke, Arthur C.",Dolphin Island,1963
"Cogswell, Theodore",The Wall Around The World,1962
"Cohen, Barney",The night of the toy Dragons,1977
"Coney, Michael",Friends Come in Boxes,1973
"Coney, Michael G.",Monitor Found in Orbit,1974
"Cooper, Edmund",Sea-Horse in the Sky,1978
"Cooper, Edmund ",The Cloud Walker,1973
"DeBrandt, Don",Viral Intelligence,2000
"Delany, Samuel R. | Purdom, Tom",Empire Star | The Tree Lord of Imeten,1966
"Dick, Philip",Galactic Pot-Healer,1969
"Dick, Phillip K.",The Crack in Space,1966
"Dickson, Gordon R.",The Pritcher Mass,1972
"Dickson, Gordon R.",No Room for Man,1962
"Disch, Thomas (Ed.)",The Ruins of Earth,1971
"Dozois, Gardner and Effinger, George Alec",Nightmare Blue,1975
"Duncan, David",Beyond Eden,1955
"Elliott, Bruce",Asylum Earth,1968
"Elwood, Roger (Ed.)",Future City,1973
"Farmer, Philip Jose",The Green Odyssey,1957
"Farmer, Philip Jose",The Maker of Universes,1965
"Fontenay, Charles",The Day the Oceans Overflowed,1964
"Gallun, Raymond Z.",Bioblast,1985
"Gerrold, David ed. ",Alternities,1974
"Geston, Mark ",Lords of the Starship,1967
"Gilliland, Alexis",The End of the Empire,1983
"Goldin, Stephen (Ed.)",The Alien Condition,1973
"Golding, William | Wyndham, John | Peake, Mervyn","Sometime, Never",1956
"Gotlieb, Phyllis",Sunburst,1964
"Greenfield, Irving A. ",Waters of Death,1967
"Gutteridge, Lindsay",Cold War in a Country Garden,1971
"Haiblum, Isidore",The Return,1970
"Hamilton, Edmond",The Valley of Creation,1954
"Hamilton, Edmond",Doomstar,1966
"Harrison, Harry",Deathworld,1960
"Harrison, Harry",The Jupiter Legacy,1965
"Harrison, Harry (Ed.)",SF: Authors' Choice ,1968
"Harrison, M. John",The Pastel City,1971
"Heilein, Robert",Starship troopers,1959
"Heine, William C.",Death Wind,1976
"High, Philip",The Prodigal Sun,1964
